"id","distrito","sexo","edad_rango","nse","voto_presidente","voto_diputado","voto_senado","peso"
263,"Mariano Melgar","Hombre","45-54","D/E","Pablo López Chau","Otros","N.S/N.O",1
264,"Cayma","Hombre","18-24","D/E","Roberto Sánchez Palomino","Otros","Yobana Huisa Vargas",1
265,"Sachaca","Mujer","35-44","D/E","N.S/N.O","N.S/N.O","Ricardo Ramírez del Villar",1
266,"Cayma","Mujer","55-70","D/E","José Luna Gálvez","Esdras Medina Minaya","Gustavo Rondón Fudinaga",1
267,"Yanahuara","Hombre","25-34","D/E","N.S/N.O","Marleny Arminta Valencia","Yobana Huisa Vargas",1
268,"Cerro Colorado","Mujer","25-34","D/E","N.S/N.O","N.S/N.O","Sergio Davila Vizcarra",1
269,"Alto Selva Alegre","Hombre","55-70","C","N.S/N.O","Amalia Palomino Pacheco","N.S/N.O",1
270,"Miraflores","Mujer","18-24","C","Carlos Álvarez Loayza","Marleny Arminta Valencia","N.S/N.O",1
271,"Cerro Colorado","Hombre","18-24","A/B","Pablo López Chau","N.S/N.O","Sergio Davila Vizcarra",1
272,"La Joya","Mujer","25-34","A/B","José Luna Gálvez","Otros","Ricardo Ramírez del Villar",1
273,"Mariano Melgar","Mujer","25-34","A/B","Cesar Acuña Peralta","Guido del Carpio Rodriguez","A. Elmer Arenas Pérez",1
274,"Paucarpata","Hombre","45-54","C","N.S/N.O","N.S/N.O","N.S/N.O",1
275,"José Luis Bustamante y Rivero","Hombre","25-34","A/B","N.S/N.O","Marleny Arminta Valencia","Otros",1
276,"Yanahuara","Mujer","18-24","C","N.S/N.O","Otros","Gustavo Rondón Fudinaga",1
277,"Socabaya","Hombre","45-54","D/E","N.S/N.O","Nicolas Talavera Benavente","N.S/N.O",1
278,"Cayma","Hombre","35-44","A/B","N.S/N.O","Otros","Otros",1
279,"La Joya","Hombre","55-70","A/B","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
280,"Cayma","Hombre","18-24","C","N.S/N.O","Adolfo Donayre Sarolli","Gustavo Rondón Fudinaga",1
281,"Cayma","Hombre","18-24","C","Keiko Fujimori Higuchi","N.S/N.O","Otros",1
282,"Yanahuara","Hombre","55-70","A/B","N.S/N.O","Esdras Medina Minaya","N.S/N.O",1
283,"Cerro Colorado","Hombre","18-24","C","Roberto Sánchez Palomino","Otros","Yobana Huisa Vargas",1
284,"Miraflores","Hombre","25-34","D/E","N.S/N.O","N.S/N.O","A. Elmer Arenas Pérez",1
285,"Cerro Colorado","Hombre","25-34","D/E","Otros","N.S/N.O","Otros",1
286,"Alto Selva Alegre","Mujer","25-34","C","Carlos Álvarez Loayza","N.S/N.O","N.S/N.O",1
287,"Yura","Mujer","25-34","D/E","N.S/N.O","Guido del Carpio Rodriguez","N.S/N.O",1
288,"Yanahuara","Mujer","25-34","D/E","N.S/N.O","Nicolas Talavera Benavente","N.S/N.O",1
289,"Socabaya","Mujer","35-44","C","N.S/N.O","Guido del Carpio Rodriguez","Sergio Davila Vizcarra",1
290,"Arequipa Cercado","Hombre","25-34","D/E","Pablo López Chau","N.S/N.O","N.S/N.O",1
291,"Cayma","Mujer","18-24","C","Pablo López Chau","Esdras Medina Minaya","Yobana Huisa Vargas",1
292,"Paucarpata","Hombre","18-24","D/E","Roberto Sánchez Palomino","N.S/N.O","Ricardo Ramírez del Villar",1
293,"Socabaya","Mujer","35-44","A/B","Roberto Sánchez Palomino","Nicolas Talavera Benavente","Ricardo Ramírez del Villar",1
294,"Miraflores","Mujer","25-34","A/B","N.S/N.O","N.S/N.O","N.S/N.O",1
295,"Alto Selva Alegre","Mujer","35-44","C","N.S/N.O","N.S/N.O","N.S/N.O",1
296,"Paucarpata","Mujer","18-24","C","Keiko Fujimori Higuchi","Otros","N.S/N.O",1
297,"Cayma","Mujer","45-54","A/B","Otros","N.S/N.O","Otros",1
298,"Cayma","Mujer","18-24","D/E","Roberto Sánchez Palomino","N.S/N.O","Yobana Huisa Vargas",1
299,"Cayma","Hombre","25-34","C","N.S/N.O","N.S/N.O","Otros",1
300,"Mariano Melgar","Hombre","35-44","C","N.S/N.O","Otros","N.S/N.O",1
301,"Alto Selva Alegre","Mujer","35-44","D/E","Keiko Fujimori Higuchi","N.S/N.O","N.S/N.O",1
302,"Miraflores","Hombre","55-70","D/E","Otros","Mauricio Alosilla Chambi","Otros",1
303,"Cayma","Mujer","55-70","D/E","Rafael López Aliaga","N.S/N.O","N.S/N.O",1
304,"Paucarpata","Mujer","25-34","D/E","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
305,"Cayma","Mujer","25-34","D/E","Carlos Álvarez Loayza","N.S/N.O","N.S/N.O",1
306,"Arequipa Cercado","Hombre","25-34","A/B","Pablo López Chau","N.S/N.O","N.S/N.O",1
307,"Socabaya","Mujer","25-34","C","N.S/N.O","N.S/N.O","Otros",1
308,"José Luis Bustamante y Rivero","Mujer","18-24","D/E","N.S/N.O","N.S/N.O","Ricardo Ramírez del Villar",1
309,"Paucarpata","Hombre","55-70","C","N.S/N.O","N.S/N.O","N.S/N.O",1
310,"Yura","Mujer","45-54","D/E","Rafael López Aliaga","N.S/N.O","N.S/N.O",1
311,"Cayma","Hombre","55-70","D/E","N.S/N.O","Esdras Medina Minaya","N.S/N.O",1
312,"Cerro Colorado","Mujer","55-70","A/B","Pablo López Chau","N.S/N.O","N.S/N.O",1
313,"Sachaca","Mujer","25-34","C","Pablo López Chau","N.S/N.O","N.S/N.O",1
314,"Yanahuara","Hombre","55-70","D/E","Pablo López Chau","N.S/N.O","N.S/N.O",1
315,"Miraflores","Hombre","25-34","C","José Luna Gálvez","Otros","N.S/N.O",1
316,"Cerro Colorado","Hombre","45-54","D/E","Otros","Guido del Carpio Rodriguez","N.S/N.O",1
317,"Alto Selva Alegre","Hombre","55-70","A/B","N.S/N.O","Marleny Arminta Valencia","N.S/N.O",1
318,"Yanahuara","Hombre","25-34","D/E","Otros","N.S/N.O","N.S/N.O",1
319,"Cayma","Hombre","55-70","C","Rafael López Aliaga","N.S/N.O","Gustavo Rondón Fudinaga",1
320,"Miraflores","Mujer","18-24","A/B","Wolfgang Grozo Costa","N.S/N.O","N.S/N.O",1
321,"La Joya","Mujer","18-24","C","Otros","Marleny Arminta Valencia","Ricardo Ramírez del Villar",1
322,"Paucarpata","Hombre","35-44","D/E","Otros","Adolfo Donayre Sarolli","Sergio Davila Vizcarra",1
323,"José Luis Bustamante y Rivero","Mujer","55-70","D/E","Rafael López Aliaga","Otros","N.S/N.O",1
324,"José Luis Bustamante y Rivero","Hombre","45-54","A/B","Wolfgang Grozo Costa","Guido del Carpio Rodriguez","Ricardo Ramírez del Villar",1
325,"Arequipa Cercado","Hombre","45-54","A/B","Pablo López Chau","Otros","N.S/N.O",1
326,"Arequipa Cercado","Mujer","25-34","C","N.S/N.O","N.S/N.O","Yobana Huisa Vargas",1
327,"Sachaca","Hombre","55-70","A/B","Keiko Fujimori Higuchi","N.S/N.O","Sergio Davila Vizcarra",1
328,"Miraflores","Hombre","25-34","A/B","N.S/N.O","Adolfo Donayre Sarolli","N.S/N.O",1
329,"Socabaya","Hombre","35-44","C","Keiko Fujimori Higuchi","Otros","Sergio Davila Vizcarra",1
330,"José Luis Bustamante y Rivero","Hombre","25-34","A/B","Wolfgang Grozo Costa","Otros","N.S/N.O",1
331,"Cerro Colorado","Hombre","25-34","A/B","Carlos Álvarez Loayza","N.S/N.O","Otros",1
332,"Arequipa Cercado","Hombre","35-44","C","Otros","N.S/N.O","N.S/N.O",1
333,"Cerro Colorado","Hombre","18-24","C","Rafael López Aliaga","Esdras Medina Minaya","Otros",1
334,"Miraflores","Hombre","35-44","D/E","Wolfgang Grozo Costa","Otros","Otros",1
335,"Alto Selva Alegre","Hombre","18-24","D/E","Pablo López Chau","Esdras Medina Minaya","N.S/N.O",1
336,"José Luis Bustamante y Rivero","Hombre","35-44","D/E","N.S/N.O","Cosme Huaman Sánchez","N.S/N.O",1
337,"Cerro Colorado","Hombre","18-24","D/E","N.S/N.O","Nicolas Talavera Benavente","Sergio Davila Vizcarra",1
338,"Sachaca","Hombre","18-24","A/B","Pablo López Chau","Otros","N.S/N.O",1
339,"José Luis Bustamante y Rivero","Hombre","18-24","C","N.S/N.O","N.S/N.O","N.S/N.O",1
340,"La Joya","Hombre","45-54","A/B","Carlos Álvarez Loayza","Guido del Carpio Rodriguez","N.S/N.O",1
341,"Sachaca","Hombre","25-34","D/E","Keiko Fujimori Higuchi","N.S/N.O","Otros",1
342,"Mariano Melgar","Mujer","18-24","C","Rafael López Aliaga","Cosme Huaman Sánchez","Ricardo Ramírez del Villar",1
343,"Cerro Colorado","Mujer","45-54","D/E","Otros","N.S/N.O","N.S/N.O",1
344,"Arequipa Cercado","Mujer","35-44","D/E","N.S/N.O","Guido del Carpio Rodriguez","A. Elmer Arenas Pérez",1
345,"Cerro Colorado","Mujer","25-34","C","N.S/N.O","N.S/N.O","N.S/N.O",1
346,"Cayma","Mujer","35-44","C","Rafael López Aliaga","N.S/N.O","Ricardo Ramírez del Villar",1
347,"José Luis Bustamante y Rivero","Hombre","35-44","D/E","N.S/N.O","Nicolas Talavera Benavente","N.S/N.O",1
348,"Cerro Colorado","Hombre","55-70","D/E","Wolfgang Grozo Costa","Otros","Gustavo Rondón Fudinaga",1
349,"Socabaya","Hombre","45-54","C","N.S/N.O","N.S/N.O","N.S/N.O",1
350,"Paucarpata","Hombre","25-34","C","Carlos Álvarez Loayza","Otros","N.S/N.O",1
351,"Arequipa Cercado","Mujer","25-34","D/E","Keiko Fujimori Higuchi","N.S/N.O","Otros",1
352,"Alto Selva Alegre","Mujer","55-70","D/E","N.S/N.O","N.S/N.O","Sergio Davila Vizcarra",1
353,"Arequipa Cercado","Hombre","55-70","A/B","Pablo López Chau","N.S/N.O","N.S/N.O",1
354,"Cayma","Hombre","35-44","C","Keiko Fujimori Higuchi","Nicolas Talavera Benavente","Sergio Davila Vizcarra",1
355,"Cerro Colorado","Mujer","25-34","D/E","N.S/N.O","N.S/N.O","Otros",1
356,"Mariano Melgar","Mujer","25-34","C","Pablo López Chau","Otros","Gustavo Rondón Fudinaga",1
357,"Alto Selva Alegre","Hombre","55-70","A/B","Pablo López Chau","N.S/N.O","Sergio Davila Vizcarra",1
358,"Yanahuara","Hombre","25-34","D/E","N.S/N.O","N.S/N.O","Ricardo Ramírez del Villar",1
359,"Paucarpata","Hombre","35-44","A/B","Wolfgang Grozo Costa","N.S/N.O","N.S/N.O",1
360,"Socabaya","Hombre","25-34","D/E","Otros","N.S/N.O","N.S/N.O",1
361,"Socabaya","Hombre","55-70","C","N.S/N.O","Cosme Huaman Sánchez","N.S/N.O",1
362,"Cayma","Hombre","35-44","C","Keiko Fujimori Higuchi","N.S/N.O","Ricardo Ramírez del Villar",1
363,"Arequipa Cercado","Hombre","18-24","D/E","Otros","Otros","N.S/N.O",1
364,"Cayma","Hombre","55-70","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
365,"La Joya","Mujer","18-24","C","Roberto Sánchez Palomino","N.S/N.O","N.S/N.O",1
366,"Cerro Colorado","Hombre","35-44","D/E","José Luna Gálvez","Otros","N.S/N.O",1
367,"Paucarpata","Mujer","35-44","C","N.S/N.O","Otros","N.S/N.O",1
368,"Yanahuara","Hombre","55-70","C","N.S/N.O","Nicolas Talavera Benavente","Sergio Davila Vizcarra",1
369,"Cayma","Mujer","25-34","D/E","José Luna Gálvez","Mauricio Alosilla Chambi","N.S/N.O",1
370,"Sachaca","Hombre","45-54","D/E","N.S/N.O","Amalia Palomino Pacheco","Otros",1
371,"La Joya","Mujer","25-34","D/E","N.S/N.O","Otros","N.S/N.O",1
372,"Miraflores","Hombre","25-34","D/E","Cesar Acuña Peralta","N.S/N.O","N.S/N.O",1
373,"Socabaya","Hombre","45-54","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
374,"Yura","Hombre","18-24","D/E","Pablo López Chau","Amalia Palomino Pacheco","N.S/N.O",1
375,"Alto Selva Alegre","Hombre","35-44","D/E","Carlos Álvarez Loayza","Otros","Otros",1
376,"José Luis Bustamante y Rivero","Mujer","18-24","C","Wolfgang Grozo Costa","Esdras Medina Minaya","Yobana Huisa Vargas",1
377,"Socabaya","Hombre","25-34","A/B","Carlos Álvarez Loayza","N.S/N.O","Yobana Huisa Vargas",1
378,"Miraflores","Hombre","18-24","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
379,"Arequipa Cercado","Mujer","55-70","C","N.S/N.O","Guido del Carpio Rodriguez","N.S/N.O",1
380,"Alto Selva Alegre","Mujer","35-44","D/E","Otros","N.S/N.O","Sergio Davila Vizcarra",1
381,"Sachaca","Hombre","45-54","C","Pablo López Chau","Adolfo Donayre Sarolli","Gustavo Rondón Fudinaga",1
382,"José Luis Bustamante y Rivero","Mujer","55-70","D/E","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
383,"Cayma","Mujer","18-24","D/E","Otros","N.S/N.O","N.S/N.O",1
384,"Miraflores","Hombre","25-34","D/E","N.S/N.O","Otros","N.S/N.O",1
385,"Socabaya","Mujer","45-54","D/E","Otros","N.S/N.O","N.S/N.O",1
386,"José Luis Bustamante y Rivero","Mujer","25-34","A/B","Cesar Acuña Peralta","Otros","Otros",1
387,"Cerro Colorado","Hombre","25-34","C","N.S/N.O","Otros","Sergio Davila Vizcarra",1
388,"Cerro Colorado","Mujer","45-54","C","N.S/N.O","N.S/N.O","N.S/N.O",1
389,"José Luis Bustamante y Rivero","Hombre","18-24","D/E","Pablo López Chau","N.S/N.O","N.S/N.O",1
390,"Cayma","Mujer","18-24","D/E","Carlos Álvarez Loayza","N.S/N.O","Gustavo Rondón Fudinaga",1
391,"Miraflores","Hombre","35-44","C","Wolfgang Grozo Costa","Adolfo Donayre Sarolli","Otros",1
392,"Alto Selva Alegre","Mujer","45-54","C","Rafael López Aliaga","N.S/N.O","Yobana Huisa Vargas",1
393,"Cerro Colorado","Hombre","18-24","C","N.S/N.O","N.S/N.O","Sergio Davila Vizcarra",1
394,"Socabaya","Mujer","25-34","D/E","Rafael López Aliaga","Otros","Sergio Davila Vizcarra",1
395,"Alto Selva Alegre","Mujer","25-34","D/E","Rafael López Aliaga","Nicolas Talavera Benavente","Otros",1
396,"Arequipa Cercado","Mujer","55-70","A/B","Pablo López Chau","N.S/N.O","N.S/N.O",1
397,"Paucarpata","Mujer","35-44","D/E","Otros","N.S/N.O","N.S/N.O",1
398,"Yanahuara","Hombre","18-24","C","N.S/N.O","Nicolas Talavera Benavente","Sergio Davila Vizcarra",1
399,"Cerro Colorado","Mujer","18-24","C","Pablo López Chau","Otros","Otros",1
400,"La Joya","Hombre","35-44","A/B","N.S/N.O","Nicolas Talavera Benavente","N.S/N.O",1
401,"Socabaya","Hombre","45-54","C","Cesar Acuña Peralta","Otros","N.S/N.O",1
402,"Alto Selva Alegre","Hombre","45-54","D/E","Carlos Álvarez Loayza","N.S/N.O","N.S/N.O",1
403,"Cerro Colorado","Hombre","45-54","C","Keiko Fujimori Higuchi","Cosme Huaman Sánchez","Otros",1
404,"Cerro Colorado","Mujer","25-34","A/B","Keiko Fujimori Higuchi","N.S/N.O","Gustavo Rondón Fudinaga",1
405,"Sachaca","Mujer","25-34","C","Cesar Acuña Peralta","N.S/N.O","N.S/N.O",1
406,"Cerro Colorado","Mujer","18-24","D/E","Otros","N.S/N.O","A. Elmer Arenas Pérez",1
407,"Yura","Mujer","35-44","C","Rafael López Aliaga","Otros","N.S/N.O",1
408,"José Luis Bustamante y Rivero","Mujer","35-44","D/E","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
409,"La Joya","Mujer","45-54","A/B","Carlos Álvarez Loayza","Nicolas Talavera Benavente","N.S/N.O",1
410,"Arequipa Cercado","Mujer","35-44","C","N.S/N.O","Otros","N.S/N.O",1
411,"Mariano Melgar","Mujer","25-34","C","Keiko Fujimori Higuchi","Mauricio Alosilla Chambi","N.S/N.O",1
412,"Sachaca","Mujer","35-44","C","Otros","Marleny Arminta Valencia","Gustavo Rondón Fudinaga",1
413,"Miraflores","Mujer","45-54","C","Otros","N.S/N.O","Gustavo Rondón Fudinaga",1
414,"Yura","Mujer","55-70","D/E","Otros","Adolfo Donayre Sarolli","A. Elmer Arenas Pérez",1
415,"Paucarpata","Mujer","45-54","D/E","Pablo López Chau","Otros","N.S/N.O",1
416,"Arequipa Cercado","Hombre","25-34","C","Otros","Cosme Huaman Sánchez","N.S/N.O",1
417,"Cerro Colorado","Hombre","25-34","C","Otros","Otros","N.S/N.O",1
418,"Paucarpata","Mujer","55-70","C","N.S/N.O","Amalia Palomino Pacheco","N.S/N.O",1
419,"Arequipa Cercado","Mujer","45-54","D/E","N.S/N.O","Marleny Arminta Valencia","Otros",1
420,"Cayma","Hombre","25-34","D/E","Wolfgang Grozo Costa","Otros","Sergio Davila Vizcarra",1
421,"Alto Selva Alegre","Hombre","18-24","C","Otros","N.S/N.O","N.S/N.O",1
422,"José Luis Bustamante y Rivero","Mujer","35-44","D/E","Carlos Álvarez Loayza","Mauricio Alosilla Chambi","Gustavo Rondón Fudinaga",1
423,"Arequipa Cercado","Mujer","25-34","D/E","N.S/N.O","Otros","Gustavo Rondón Fudinaga",1
424,"La Joya","Hombre","55-70","C","Otros","N.S/N.O","N.S/N.O",1
425,"Paucarpata","Mujer","45-54","C","Otros","Esdras Medina Minaya","N.S/N.O",1
426,"Yanahuara","Hombre","35-44","C","N.S/N.O","Adolfo Donayre Sarolli","N.S/N.O",1
427,"José Luis Bustamante y Rivero","Mujer","18-24","C","Wolfgang Grozo Costa","N.S/N.O","Otros",1
428,"Cerro Colorado","Mujer","35-44","C","Cesar Acuña Peralta","Otros","Ricardo Ramírez del Villar",1
429,"Cerro Colorado","Hombre","25-34","C","Otros","N.S/N.O","N.S/N.O",1
430,"Cayma","Hombre","18-24","D/E","Otros","N.S/N.O","N.S/N.O",1
431,"Cerro Colorado","Hombre","35-44","D/E","N.S/N.O","Nicolas Talavera Benavente","Gustavo Rondón Fudinaga",1
432,"Paucarpata","Mujer","25-34","D/E","N.S/N.O","Guido del Carpio Rodriguez","N.S/N.O",1
433,"Arequipa Cercado","Mujer","25-34","D/E","N.S/N.O","Esdras Medina Minaya","Gustavo Rondón Fudinaga",1
434,"Alto Selva Alegre","Mujer","45-54","D/E","Roberto Sánchez Palomino","Cosme Huaman Sánchez","N.S/N.O",1
435,"Alto Selva Alegre","Hombre","35-44","D/E","Pablo López Chau","N.S/N.O","Ricardo Ramírez del Villar",1
436,"Cerro Colorado","Mujer","55-70","A/B","Otros","Cosme Huaman Sánchez","N.S/N.O",1
437,"Cerro Colorado","Mujer","18-24","D/E","N.S/N.O","Guido del Carpio Rodriguez","Gustavo Rondón Fudinaga",1
438,"José Luis Bustamante y Rivero","Mujer","18-24","D/E","N.S/N.O","Marleny Arminta Valencia","N.S/N.O",1
439,"Alto Selva Alegre","Hombre","35-44","C","N.S/N.O","Esdras Medina Minaya","Ricardo Ramírez del Villar",1
440,"Miraflores","Hombre","25-34","C","Roberto Sánchez Palomino","N.S/N.O","Sergio Davila Vizcarra",1
441,"Arequipa Cercado","Hombre","35-44","D/E","Wolfgang Grozo Costa","Marleny Arminta Valencia","N.S/N.O",1
442,"Mariano Melgar","Hombre","25-34","D/E","Carlos Álvarez Loayza","Otros","Otros",1
443,"Arequipa Cercado","Hombre","25-34","C","Keiko Fujimori Higuchi","Marleny Arminta Valencia","N.S/N.O",1
444,"Cerro Colorado","Hombre","18-24","D/E","N.S/N.O","Marleny Arminta Valencia","Gustavo Rondón Fudinaga",1
445,"José Luis Bustamante y Rivero","Mujer","45-54","C","N.S/N.O","Otros","N.S/N.O",1
446,"Alto Selva Alegre","Mujer","55-70","A/B","N.S/N.O","N.S/N.O","N.S/N.O",1
447,"Alto Selva Alegre","Mujer","35-44","A/B","N.S/N.O","N.S/N.O","Ricardo Ramírez del Villar",1
448,"Alto Selva Alegre","Mujer","35-44","D/E","Cesar Acuña Peralta","Adolfo Donayre Sarolli","N.S/N.O",1
449,"Paucarpata","Hombre","18-24","A/B","Roberto Sánchez Palomino","Amalia Palomino Pacheco","N.S/N.O",1
450,"Cayma","Mujer","55-70","D/E","N.S/N.O","Otros","N.S/N.O",1
451,"Socabaya","Hombre","35-44","D/E","Otros","N.S/N.O","Otros",1
452,"Cerro Colorado","Hombre","25-34","C","Cesar Acuña Peralta","Otros","N.S/N.O",1
453,"Cayma","Hombre","55-70","A/B","Wolfgang Grozo Costa","N.S/N.O","N.S/N.O",1
454,"José Luis Bustamante y Rivero","Hombre","45-54","C","N.S/N.O","N.S/N.O","Yobana Huisa Vargas",1
455,"Cayma","Mujer","25-34","C","Otros","Cosme Huaman Sánchez","N.S/N.O",1
456,"Arequipa Cercado","Hombre","25-34","C","Wolfgang Grozo Costa","Marleny Arminta Valencia","N.S/N.O",1
457,"Socabaya","Hombre","25-34","D/E","Wolfgang Grozo Costa","N.S/N.O","N.S/N.O",1
458,"Miraflores","Mujer","25-34","D/E","Pablo López Chau","N.S/N.O","Otros",1
459,"Socabaya","Mujer","25-34","D/E","Pablo López Chau","N.S/N.O","Otros",1
460,"Arequipa Cercado","Hombre","55-70","D/E","N.S/N.O","Amalia Palomino Pacheco","Sergio Davila Vizcarra",1
461,"Cayma","Hombre","55-70","C","Wolfgang Grozo Costa","Otros","N.S/N.O",1
462,"Arequipa Cercado","Hombre","45-54","A/B","Wolfgang Grozo Costa","Otros","Ricardo Ramírez del Villar",1
463,"Paucarpata","Mujer","18-24","D/E","Otros","Esdras Medina Minaya","Ricardo Ramírez del Villar",1
464,"Paucarpata","Hombre","35-44","D/E","N.S/N.O","Amalia Palomino Pacheco","N.S/N.O",1
465,"Miraflores","Mujer","25-34","A/B","Pablo López Chau","Nicolas Talavera Benavente","N.S/N.O",1
466,"Cerro Colorado","Hombre","45-54","D/E","N.S/N.O","Esdras Medina Minaya","Ricardo Ramírez del Villar",1
467,"Cayma","Hombre","55-70","C","Rafael López Aliaga","Adolfo Donayre Sarolli","Gustavo Rondón Fudinaga",1
468,"Yura","Mujer","35-44","C","Wolfgang Grozo Costa","N.S/N.O","Otros",1
469,"Mariano Melgar","Hombre","55-70","C","Otros","Otros","N.S/N.O",1
470,"Cerro Colorado","Hombre","25-34","A/B","José Luna Gálvez","N.S/N.O","Gustavo Rondón Fudinaga",1
471,"Alto Selva Alegre","Mujer","35-44","D/E","Rafael López Aliaga","Otros","Sergio Davila Vizcarra",1
472,"Mariano Melgar","Mujer","25-34","A/B","Otros","Otros","N.S/N.O",1
473,"Yanahuara","Mujer","18-24","D/E","Pablo López Chau","Amalia Palomino Pacheco","Gustavo Rondón Fudinaga",1
474,"Cerro Colorado","Hombre","25-34","C","Carlos Álvarez Loayza","Otros","N.S/N.O",1
475,"Sachaca","Mujer","25-34","D/E","Keiko Fujimori Higuchi","N.S/N.O","N.S/N.O",1
476,"Paucarpata","Mujer","18-24","C","Rafael López Aliaga","N.S/N.O","N.S/N.O",1
477,"Cerro Colorado","Mujer","35-44","D/E","Rafael López Aliaga","N.S/N.O","N.S/N.O",1
478,"Paucarpata","Hombre","55-70","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
479,"Paucarpata","Hombre","45-54","D/E","Otros","N.S/N.O","N.S/N.O",1
480,"Arequipa Cercado","Mujer","35-44","D/E","N.S/N.O","Nicolas Talavera Benavente","N.S/N.O",1
481,"Yura","Mujer","45-54","D/E","Carlos Álvarez Loayza","N.S/N.O","N.S/N.O",1
482,"Cayma","Hombre","35-44","C","Wolfgang Grozo Costa","Cosme Huaman Sánchez","Gustavo Rondón Fudinaga",1
483,"José Luis Bustamante y Rivero","Hombre","35-44","C","Wolfgang Grozo Costa","Otros","N.S/N.O",1
484,"Cerro Colorado","Hombre","25-34","D/E","José Luna Gálvez","N.S/N.O","N.S/N.O",1
485,"Cerro Colorado","Hombre","25-34","C","Roberto Sánchez Palomino","N.S/N.O","Otros",1
486,"Cerro Colorado","Mujer","25-34","D/E","Otros","Otros","Otros",1
487,"Cayma","Mujer","45-54","D/E","Carlos Álvarez Loayza","Otros","N.S/N.O",1
488,"Arequipa Cercado","Mujer","45-54","D/E","N.S/N.O","Nicolas Talavera Benavente","Yobana Huisa Vargas",1
489,"José Luis Bustamante y Rivero","Mujer","45-54","C","Otros","Esdras Medina Minaya","Ricardo Ramírez del Villar",1
490,"La Joya","Hombre","35-44","C","Pablo López Chau","Esdras Medina Minaya","N.S/N.O",1
491,"Arequipa Cercado","Hombre","45-54","C","N.S/N.O","Marleny Arminta Valencia","Sergio Davila Vizcarra",1
492,"Paucarpata","Mujer","35-44","D/E","Rafael López Aliaga","N.S/N.O","N.S/N.O",1
493,"Mariano Melgar","Hombre","45-54","C","José Luna Gálvez","Otros","Gustavo Rondón Fudinaga",1
494,"Sachaca","Hombre","18-24","C","N.S/N.O","N.S/N.O","N.S/N.O",1
495,"Mariano Melgar","Hombre","18-24","C","Rafael López Aliaga","Guido del Carpio Rodriguez","N.S/N.O",1
496,"Cerro Colorado","Mujer","25-34","D/E","Otros","Marleny Arminta Valencia","N.S/N.O",1
497,"Cerro Colorado","Hombre","25-34","D/E","Pablo López Chau","N.S/N.O","N.S/N.O",1
498,"Cerro Colorado","Hombre","35-44","C","Rafael López Aliaga","N.S/N.O","Gustavo Rondón Fudinaga",1
499,"Miraflores","Mujer","45-54","D/E","Keiko Fujimori Higuchi","Esdras Medina Minaya","Yobana Huisa Vargas",1
500,"Mariano Melgar","Mujer","55-70","D/E","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
501,"José Luis Bustamante y Rivero","Hombre","18-24","C","Pablo López Chau","Otros","N.S/N.O",1
502,"Paucarpata","Hombre","35-44","C","N.S/N.O","Mauricio Alosilla Chambi","N.S/N.O",1
503,"Cerro Colorado","Hombre","35-44","C","N.S/N.O","Nicolas Talavera Benavente","N.S/N.O",1
504,"Paucarpata","Mujer","25-34","C","Roberto Sánchez Palomino","N.S/N.O","N.S/N.O",1
505,"Arequipa Cercado","Mujer","55-70","C","Otros","N.S/N.O","N.S/N.O",1
506,"Miraflores","Hombre","25-34","D/E","N.S/N.O","Cosme Huaman Sánchez","Otros",1
507,"Alto Selva Alegre","Mujer","18-24","C","Otros","N.S/N.O","A. Elmer Arenas Pérez",1
508,"La Joya","Mujer","25-34","C","N.S/N.O","Amalia Palomino Pacheco","A. Elmer Arenas Pérez",1
509,"Socabaya","Mujer","35-44","D/E","Cesar Acuña Peralta","Nicolas Talavera Benavente","Sergio Davila Vizcarra",1
510,"Socabaya","Hombre","18-24","D/E","Wolfgang Grozo Costa","Otros","Gustavo Rondón Fudinaga",1
511,"Cerro Colorado","Mujer","25-34","A/B","N.S/N.O","Otros","Ricardo Ramírez del Villar",1
512,"José Luis Bustamante y Rivero","Mujer","35-44","D/E","N.S/N.O","Amalia Palomino Pacheco","N.S/N.O",1
513,"Mariano Melgar","Mujer","45-54","D/E","Pablo López Chau","N.S/N.O","Sergio Davila Vizcarra",1
514,"Arequipa Cercado","Hombre","35-44","D/E","José Luna Gálvez","Otros","Ricardo Ramírez del Villar",1
515,"Socabaya","Hombre","35-44","A/B","N.S/N.O","Adolfo Donayre Sarolli","N.S/N.O",1
516,"Paucarpata","Hombre","25-34","C","Carlos Álvarez Loayza","Esdras Medina Minaya","Gustavo Rondón Fudinaga",1
517,"Socabaya","Hombre","35-44","C","N.S/N.O","Otros","Yobana Huisa Vargas",1
518,"Mariano Melgar","Hombre","25-34","D/E","N.S/N.O","Guido del Carpio Rodriguez","Gustavo Rondón Fudinaga",1
519,"Socabaya","Hombre","35-44","C","N.S/N.O","Otros","Gustavo Rondón Fudinaga",1
